Order ID,Restaurant Name,Order Time,Delivery Time,Delivery Duration (min),Pizza Size,Pizza Type,Traffic Level,Payment Method,Is Peak Hour,Is Weekend,Order Month,Payment Category
ORD049,Pizza Hut,19-02-2024 20:30,19-02-2024 20:55,25,XL,Cheese Burst,High,UPI,TRUE,FALSE,February,Online
ORD050,Marco's Pizza,20-02-2024 14:45,20-02-2024 15:05,20,Medium,Non-Veg,Low,Cash,FALSE,FALSE,February,Offline
ORD051,Domino's,21-02-2024 19:00,21-02-2024 19:20,20,Large,Veg,Medium,Wallet,TRUE,FALSE,February,Online
ORD052,Papa John's,22-02-2024 20:15,22-02-2024 20:40,25,Small,Vegan,High,Card,TRUE,FALSE,February,Online
ORD053,Little Caesars,23-02-2024 18:30,23-02-2024 18:50,20,Medium,Non-Veg,Low,UPI,TRUE,FALSE,February,Online
ORD054,Pizza Hut,24-02-2024 19:45,24-02-2024 20:10,25,XL,Cheese Burst,Medium,Cash,TRUE,TRUE,February,Offline
ORD055,Marco's Pizza,25-02-2024 13:00,25-02-2024 13:20,20,Medium,Non-Veg,High,Wallet,FALSE,TRUE,February,Online
ORD056,Domino's,26-02-2024 18:30,26-02-2024 18:50,20,Large,Veg,Low,Card,TRUE,FALSE,February,Online
ORD057,Papa John's,27-02-2024 20:00,27-02-2024 20:25,25,Medium,Non-Veg,High,UPI,TRUE,FALSE,February,Online
ORD058,Little Caesars,28-02-2024 19:15,28-02-2024 19:35,20,Small,Vegan,Low,Cash,TRUE,FALSE,February,Offline
ORD059,Pizza Hut,29-02-2024 20:30,29-02-2024 20:55,25,XL,Cheese Burst,Medium,Wallet,TRUE,FALSE,February,Online
ORD060,Marco's Pizza,01-03-2024 14:45,01-03-2024 15:05,20,Medium,Non-Veg,High,Card,FALSE,FALSE,March,Online
ORD061,Domino's,02-03-2024 19:00,02-03-2024 19:20,20,Large,Veg,Low,UPI,TRUE,TRUE,March,Online
ORD062,Papa John's,03-03-2024 20:15,03-03-2024 20:40,25,Small,Vegan,Medium,Cash,TRUE,TRUE,March,Offline
ORD063,Little Caesars,04-03-2024 18:30,04-03-2024 18:50,20,Medium,Non-Veg,High,Wallet,TRUE,FALSE,March,Online
ORD064,Pizza Hut,05-03-2024 19:45,05-03-2024 20:10,25,XL,Cheese Burst,Low,Card,TRUE,FALSE,March,Online
ORD065,Marco's Pizza,06-03-2024 13:00,06-03-2024 13:20,20,Medium,Non-Veg,Low,Card,FALSE,FALSE,March,Online
ORD066,Domino's,07-03-2024 18:30,07-03-2024 18:50,20,Large,Veg,High,Card,TRUE,FALSE,March,Online
ORD067,Papa John's,08-03-2024 20:00,08-03-2024 20:25,25,Medium,Non-Veg,Medium,UPI,TRUE,FALSE,March,Online
ORD068,Little Caesars,09-03-2024 19:15,09-03-2024 19:35,20,Small,Vegan,Low,Cash,TRUE,TRUE,March,Offline
ORD069,Pizza Hut,10-03-2024 19:45,10-03-2024 20:10,25,XL,Cheese Burst,High,Wallet,TRUE,TRUE,March,Online
ORD070,Marco's Pizza,11-03-2024 13:00,11-03-2024 13:20,20,Medium,Non-Veg,Low,Card,FALSE,FALSE,March,Online
ORD071,Domino's,12-03-2024 18:30,12-03-2024 18:50,20,Large,Veg,Medium,UPI,TRUE,FALSE,March,Online
ORD072,Papa John's,13-03-2024 20:15,13-03-2024 20:40,25,Small,Vegan,High,Cash,TRUE,FALSE,March,Offline
ORD073,Little Caesars,14-03-2024 18:30,14-03-2024 18:50,20,Medium,Non-Veg,Low,Wallet,TRUE,FALSE,March,Online
ORD074,Pizza Hut,15-03-2024 19:45,15-03-2024 20:10,25,XL,Cheese Burst,Medium,Card,TRUE,FALSE,March,Online
ORD075,Marco's Pizza,16-03-2024 13:00,16-03-2024 13:20,20,Medium,Non-Veg,High,UPI,FALSE,TRUE,March,Online
ORD076,Domino's,17-03-2024 18:30,17-03-2024 18:50,20,Large,Veg,Low,Cash,TRUE,TRUE,March,Offline
ORD077,Papa John's,18-03-2024 20:00,18-03-2024 20:25,25,Medium,Non-Veg,High,Wallet,TRUE,FALSE,March,Online
ORD078,Little Caesars,19-03-2024 19:15,19-03-2024 19:35,20,Small,Vegan,Low,Card,TRUE,FALSE,March,Online
ORD079,Pizza Hut,20-03-2024 19:45,20-03-2024 20:10,25,XL,Cheese Burst,Medium,UPI,TRUE,FALSE,March,Online
ORD080,Marco's Pizza,21-03-2024 13:00,21-03-2024 13:20,20,Medium,Non-Veg,High,Cash,FALSE,FALSE,March,Offline
ORD081,Domino's,22-03-2024 18:30,22-03-2024 18:50,20,Large,Veg,Low,Wallet,TRUE,FALSE,March,Online
ORD082,Papa John's,23-03-2024 20:15,23-03-2024 20:40,25,Small,Vegan,High,Card,TRUE,TRUE,March,Online
ORD083,Little Caesars,24-03-2024 18:30,24-03-2024 18:50,20,Medium,Non-Veg,High,UPI,TRUE,TRUE,March,Online
ORD084,Pizza Hut,25-03-2024 19:45,25-03-2024 20:10,25,XL,Cheese Burst,Low,Cash,TRUE,FALSE,March,Offline
ORD085,Marco's Pizza,26-03-2024 13:00,26-03-2024 13:20,20,Medium,Non-Veg,Medium,Wallet,FALSE,FALSE,March,Online
ORD086,Domino's,27-03-2024 18:30,27-03-2024 18:50,20,Large,Veg,High,Card,TRUE,FALSE,March,Online
ORD087,Papa John's,28-03-2024 20:00,28-03-2024 20:25,25,Medium,Non-Veg,Low,UPI,TRUE,FALSE,March,Online
ORD088,Little Caesars,29-03-2024 19:15,29-03-2024 19:35,20,Small,Vegan,Low,Cash,TRUE,FALSE,March,Offline
ORD089,Pizza Hut,30-03-2024 19:45,30-03-2024 20:10,25,XL,Cheese Burst,High,Wallet,TRUE,TRUE,March,Online
ORD090,Marco's Pizza,31-03-2024 13:00,31-03-2024 13:20,20,Medium,Non-Veg,Medium,Card,FALSE,TRUE,March,Online
ORD091,Domino's,01-04-2024 18:30,01-04-2024 18:50,20,Large,Veg,Low,UPI,TRUE,FALSE,April,Online
ORD092,Papa John's,02-04-2024 20:15,02-04-2024 20:40,25,Small,Vegan,High,Cash,TRUE,FALSE,April,Offline
ORD093,Little Caesars,03-04-2024 18:30,03-04-2024 18:50,20,Medium,Non-Veg,Low,Wallet,TRUE,FALSE,April,Online
ORD094,Pizza Hut,04-04-2024 19:45,04-04-2024 20:10,25,XL,Cheese Burst,Medium,Card,TRUE,FALSE,April,Online
ORD095,Marco's Pizza,05-04-2024 13:00,05-04-2024 13:20,20,Medium,Non-Veg,High,UPI,FALSE,FALSE,April,Online
ORD096,Domino's,06-04-2024 18:30,06-04-2024 18:50,20,Large,Veg,High,Card,TRUE,TRUE,April,Online
ORD097,Papa John's,07-04-2024 20:00,07-04-2024 20:25,25,Medium,Non-Veg,Medium,UPI,TRUE,TRUE,April,Online
ORD098,Little Caesars,08-04-2024 19:15,08-04-2024 19:35,20,Small,Vegan,Low,Cash,TRUE,FALSE,April,Offline
ORD099,Pizza Hut,09-04-2024 19:45,09-04-2024 20:10,25,XL,Cheese Burst,High,Wallet,TRUE,FALSE,April,Online
ORD100,Marco's Pizza,10-04-2024 13:00,10-04-2024 13:20,20,Medium,Non-Veg,Low,Card,FALSE,FALSE,April,Online
ORD101,Domino's,11-04-2024 18:30,11-04-2024 18:50,20,Large,Veg,Medium,UPI,TRUE,FALSE,April,Online
ORD102,Papa John's,12-04-2024 20:15,12-04-2024 20:40,25,Small,Vegan,High,Cash,TRUE,FALSE,April,Offline
ORD103,Little Caesars,13-04-2024 18:30,13-04-2024 18:50,20,Medium,Non-Veg,Low,Wallet,TRUE,TRUE,April,Online
ORD104,Pizza Hut,14-04-2024 19:45,14-04-2024 20:10,25,XL,Cheese Burst,Medium,Card,TRUE,TRUE,April,Online
ORD105,Marco's Pizza,15-04-2024 13:00,15-04-2024 13:20,20,Medium,Non-Veg,High,UPI,FALSE,FALSE,April,Online
ORD106,Domino's,16-04-2024 18:30,16-04-2024 18:50,20,Large,Veg,Low,Cash,TRUE,FALSE,April,Offline
ORD107,Papa John's,17-04-2024 20:00,17-04-2024 20:25,25,Medium,Non-Veg,High,Wallet,TRUE,FALSE,April,Online
ORD108,Little Caesars,18-04-2024 19:15,18-04-2024 19:35,20,Small,Vegan,Low,Card,TRUE,FALSE,April,Online
ORD109,Pizza Hut,19-04-2024 19:45,19-04-2024 20:10,25,XL,Cheese Burst,Medium,UPI,TRUE,FALSE,April,Online
ORD110,Marco's Pizza,20-04-2024 13:00,20-04-2024 13:20,20,Medium,Non-Veg,High,Cash,FALSE,TRUE,April,Offline
ORD111,Domino's,21-04-2024 18:30,21-04-2024 18:50,20,Large,Veg,Low,Wallet,TRUE,TRUE,April,Online
ORD112,Papa John's,22-04-2024 20:15,22-04-2024 20:40,25,Small,Vegan,High,Card,TRUE,FALSE,April,Online
ORD113,Little Caesars,23-04-2024 18:30,23-04-2024 18:50,20,Medium,Non-Veg,High,UPI,TRUE,FALSE,April,Online
ORD114,Pizza Hut,24-04-2024 19:45,24-04-2024 20:10,25,XL,Cheese Burst,Low,Cash,TRUE,FALSE,April,Offline
ORD115,Marco's Pizza,25-04-2024 13:00,25-04-2024 13:20,20,Medium,Non-Veg,Medium,Wallet,FALSE,FALSE,April,Online
ORD116,Domino's,26-04-2024 18:30,26-04-2024 18:50,20,Large,Veg,High,Card,TRUE,FALSE,April,Online
ORD117,Papa John's,27-04-2024 20:00,27-04-2024 20:25,25,Medium,Non-Veg,Low,UPI,TRUE,TRUE,April,Online
ORD118,Little Caesars,28-04-2024 19:15,28-04-2024 19:35,20,Small,Vegan,Low,Cash,TRUE,TRUE,April,Offline
ORD119,Pizza Hut,29-04-2024 19:45,29-04-2024 20:10,25,XL,Cheese Burst,High,Wallet,TRUE,FALSE,April,Online
ORD120,Marco's Pizza,30-04-2024 13:00,30-04-2024 13:20,20,Medium,Non-Veg,Medium,Card,FALSE,FALSE,April,Online
ORD121,Domino's,01-05-2024 18:30,01-05-2024 18:50,20,Large,Veg,Low,UPI,TRUE,FALSE,May,Online
ORD122,Papa John's,02-05-2024 20:15,02-05-2024 20:40,25,Small,Vegan,High,Cash,TRUE,FALSE,May,Offline
ORD123,Little Caesars,03-05-2024 18:30,03-05-2024 18:50,20,Medium,Non-Veg,Low,Wallet,TRUE,FALSE,May,Online
ORD124,Pizza Hut,04-05-2024 19:45,04-05-2024 20:10,25,XL,Cheese Burst,Medium,Card,TRUE,TRUE,May,Online
ORD125,Marco's Pizza,05-05-2024 13:00,05-05-2024 13:20,20,Medium,Non-Veg,High,UPI,FALSE,TRUE,May,Online
ORD126,Domino's,01-08-2024 18:00,01-08-2024 18:20,20,Medium,Veg,Low,Card,TRUE,FALSE,August,Online
ORD127,Papa John's,02-08-2024 19:15,02-08-2024 19:45,30,Large,Non-Veg,Medium,UPI,TRUE,FALSE,August,Online
ORD128,Pizza Hut,03-08-2024 20:30,03-08-2024 21:10,40,XL,Cheese Burst,High,Wallet,TRUE,TRUE,August,Online
ORD129,Little Caesars,04-08-2024 18:45,04-08-2024 19:05,20,Small,Vegan,Low,Cash,TRUE,TRUE,August,Offline
ORD130,Marco's Pizza,05-08-2024 19:00,05-08-2024 19:50,50,Large,Non-Veg,High,Card,TRUE,FALSE,August,Online
ORD131,Domino's,06-08-2024 20:00,06-08-2024 20:35,35,Medium,Veg,Medium,Wallet,TRUE,FALSE,August,Online
ORD132,Papa John's,07-08-2024 18:30,07-08-2024 18:50,20,Small,Vegan,Low,UPI,TRUE,FALSE,August,Online
ORD133,Pizza Hut,08-08-2024 19:45,08-08-2024 20:25,40,XL,Cheese Burst,High,Cash,TRUE,FALSE,August,Offline
ORD134,Little Caesars,09-08-2024 18:00,09-08-2024 18:30,30,Medium,Non-Veg,Medium,Card,TRUE,FALSE,August,Online
ORD135,Marco's Pizza,10-08-2024 20:15,10-08-2024 21:00,45,Large,Veg,High,Wallet,TRUE,TRUE,August,Online
ORD136,Domino's,11-08-2024 18:00,11-08-2024 18:20,20,Medium,Veg,Low,UPI,TRUE,TRUE,August,Online
ORD137,Papa John's,12-08-2024 19:15,12-08-2024 19:45,30,Large,Non-Veg,Medium,Cash,TRUE,FALSE,August,Offline
ORD138,Pizza Hut,13-08-2024 20:30,13-08-2024 21:10,40,XL,Cheese Burst,High,Card,TRUE,FALSE,August,Online
ORD139,Little Caesars,14-08-2024 18:45,14-08-2024 19:05,20,Small,Vegan,Low,Wallet,TRUE,FALSE,August,Online
ORD140,Marco's Pizza,15-08-2024 19:00,15-08-2024 19:50,50,Large,Non-Veg,High,UPI,TRUE,FALSE,August,Online
ORD141,Domino's,16-08-2024 20:00,16-08-2024 20:35,35,Medium,Veg,Medium,Cash,TRUE,FALSE,August,Offline
ORD142,Papa John's,17-08-2024 18:30,17-08-2024 18:50,20,Small,Vegan,Low,Card,TRUE,TRUE,August,Online
ORD143,Pizza Hut,18-08-2024 19:45,18-08-2024 20:25,40,XL,Cheese Burst,High,Wallet,TRUE,TRUE,August,Online
ORD144,Little Caesars,19-08-2024 18:00,19-08-2024 18:30,30,Medium,Non-Veg,Medium,UPI,TRUE,FALSE,August,Online
ORD145,Marco's Pizza,20-08-2024 20:15,20-08-2024 21:00,45,Large,Veg,High,Cash,TRUE,FALSE,August,Offline
ORD146,Domino's,21-08-2024 18:00,21-08-2024 18:20,20,Medium,Veg,Low,Card,TRUE,FALSE,August,Online
ORD147,Papa John's,22-08-2024 19:15,22-08-2024 19:45,30,Large,Non-Veg,Medium,Wallet,TRUE,FALSE,August,Online
ORD148,Pizza Hut,23-08-2024 20:30,23-08-2024 21:10,40,XL,Cheese Burst,High,UPI,TRUE,FALSE,August,Online
ORD149,Little Caesars,24-08-2024 18:45,24-08-2024 19:05,20,Small,Vegan,Low,Cash,TRUE,TRUE,August,Offline
ORD150,Marco's Pizza,25-08-2024 19:00,25-08-2024 19:50,50,Large,Non-Veg,High,Card,TRUE,TRUE,August,Online
ORD151,Domino's,01-08-2024 18:00,01-08-2024 18:30,30,Large,Veg,High,Domino's Cash,TRUE,FALSE,August,Offline
ORD152,Pizza Hut,02-08-2024 19:15,02-08-2024 19:45,30,XL,Cheese Burst,Medium,Card,TRUE,FALSE,August,Online
ORD153,Papa John's,03-08-2024 20:00,03-08-2024 20:35,35,Medium,Non-Veg,Low,UPI,TRUE,TRUE,August,Online
ORD154,Little Caesars,04-08-2024 17:45,04-08-2024 18:05,20,Small,Vegan,Low,Wallet,FALSE,TRUE,August,Online
ORD155,Marco's Pizza,05-08-2024 13:30,05-08-2024 14:00,30,Medium,Non-Veg,High,Cash,FALSE,FALSE,August,Offline
ORD156,Domino's,06-08-2024 18:20,06-08-2024 18:50,30,Large,Veg,Medium,Domino's Cash,TRUE,FALSE,August,Offline
ORD157,Papa John's,07-08-2024 20:10,07-08-2024 20:45,35,Small,Vegan,High,Card,TRUE,FALSE,August,Online
ORD158,Little Caesars,08-08-2024 18:00,08-08-2024 18:25,25,Medium,Non-Veg,Low,UPI,TRUE,FALSE,August,Online
ORD159,Pizza Hut,09-08-2024 19:30,09-08-2024 20:00,30,XL,Cheese Burst,Medium,Wallet,TRUE,FALSE,August,Online
ORD160,Marco's Pizza,10-08-2024 12:45,10-08-2024 13:15,30,Medium,Non-Veg,High,Cash,FALSE,TRUE,August,Offline
ORD161,Domino's,11-08-2024 18:15,11-08-2024 18:45,30,Large,Veg,Medium,Domino's Cash,TRUE,TRUE,August,Offline
ORD162,Papa John's,12-08-2024 20:00,12-08-2024 20:30,30,Small,Vegan,Low,Card,TRUE,FALSE,August,Online
ORD163,Little Caesars,13-08-2024 18:10,13-08-2024 18:35,25,Medium,Non-Veg,High,UPI,TRUE,FALSE,August,Online
ORD164,Pizza Hut,14-08-2024 19:20,14-08-2024 19:50,30,XL,Cheese Burst,Medium,Wallet,TRUE,FALSE,August,Online
ORD165,Marco's Pizza,15-08-2024 13:15,15-08-2024 13:45,30,Medium,Non-Veg,High,Cash,FALSE,FALSE,August,Offline
ORD166,Domino's,16-08-2024 18:25,16-08-2024 18:55,30,Large,Veg,Medium,Domino's Cash,TRUE,FALSE,August,Offline
ORD167,Papa John's,17-08-2024 20:05,17-08-2024 20:35,30,Small,Vegan,Low,Card,TRUE,TRUE,August,Online
ORD168,Little Caesars,18-08-2024 18:00,18-08-2024 18:25,25,Medium,Non-Veg,High,UPI,TRUE,TRUE,August,Online
ORD169,Pizza Hut,19-08-2024 19:30,19-08-2024 20:00,30,XL,Cheese Burst,Medium,Wallet,TRUE,FALSE,August,Online
ORD170,Marco's Pizza,20-08-2024 13:00,20-08-2024 13:30,30,Medium,Non-Veg,Low,Cash,FALSE,FALSE,August,Offline
ORD171,Domino's,21-08-2024 18:15,21-08-2024 18:45,30,Large,Veg,High,Domino's Cash,TRUE,FALSE,August,Offline
ORD172,Papa John's,22-08-2024 20:00,22-08-2024 20:30,30,Small,Vegan,Medium,Card,TRUE,FALSE,August,Online
ORD173,Little Caesars,23-08-2024 18:10,23-08-2024 18:35,25,Medium,Non-Veg,Low,UPI,TRUE,FALSE,August,Online
ORD174,Pizza Hut,24-08-2024 19:20,24-08-2024 19:50,30,XL,Cheese Burst,High,Wallet,TRUE,TRUE,August,Online
ORD175,Marco's Pizza,20-06-2024 13:00,20-06-2024 13:20,20,Medium,Non-Veg,Medium,Card,FALSE,FALSE,June,Online
ORD176,Domino's,21-06-2024 18:30,21-06-2024 18:50,20,Large,Veg,Low,UPI,TRUE,FALSE,June,Online
ORD177,Papa John's,22-06-2024 20:15,22-06-2024 20:40,25,Small,Vegan,High,Cash,TRUE,TRUE,June,Offline
ORD178,Little Caesars,23-06-2024 18:30,23-06-2024 18:50,20,Medium,Non-Veg,High,UPI,TRUE,TRUE,June,Online
ORD179,Pizza Hut,24-06-2024 19:45,24-06-2024 20:10,25,XL,Cheese Burst,Low,Cash,TRUE,FALSE,June,Offline
ORD180,Marco's Pizza,25-06-2024 13:00,25-06-2024 13:20,20,Medium,Non-Veg,Medium,Wallet,FALSE,FALSE,June,Online
ORD181,Domino's,26-06-2024 18:30,26-06-2024 18:55,25,Large,Veg,High,Card,TRUE,FALSE,June,Online
ORD182,Papa John's,27-06-2024 20:00,27-06-2024 20:25,25,Medium,Non-Veg,Medium,UPI,TRUE,FALSE,June,Online
ORD183,Little Caesars,28-06-2024 19:15,28-06-2024 19:35,20,Small,Vegan,Low,Cash,TRUE,FALSE,June,Offline
ORD184,Pizza Hut,29-06-2024 19:45,29-06-2024 20:10,25,XL,Cheese Burst,High,Wallet,TRUE,TRUE,June,Online
ORD185,Marco's Pizza,30-06-2024 13:00,30-06-2024 13:20,20,Medium,Non-Veg,Low,Card,FALSE,TRUE,June,Online
ORD186,Domino's,01-07-2024 18:30,01-07-2024 18:50,20,Large,Veg,Medium,UPI,TRUE,FALSE,July,Online
ORD187,Papa John's,02-07-2024 20:15,02-07-2024 20:40,25,Small,Vegan,High,Cash,TRUE,FALSE,July,Offline
ORD188,Little Caesars,03-07-2024 18:30,03-07-2024 18:50,20,Medium,Non-Veg,Low,Wallet,TRUE,FALSE,July,Online
ORD189,Pizza Hut,04-07-2024 19:45,04-07-2024 20:10,25,XL,Cheese Burst,Medium,Card,TRUE,FALSE,July,Online
ORD190,Marco's Pizza,05-07-2024 13:00,05-07-2024 13:20,20,Medium,Non-Veg,High,UPI,FALSE,FALSE,July,Online
ORD191,Domino's,06-07-2024 18:30,06-07-2024 18:50,20,Large,Veg,Low,Cash,TRUE,TRUE,July,Offline
ORD192,Papa John's,07-07-2024 20:15,07-07-2024 20:40,25,Small,Vegan,High,Wallet,TRUE,TRUE,July,Online
ORD193,Little Caesars,08-07-2024 18:30,08-07-2024 18:50,20,Medium,Non-Veg,High,UPI,TRUE,FALSE,July,Online
ORD194,Pizza Hut,09-07-2024 19:45,09-07-2024 20:10,25,XL,Cheese Burst,Low,Cash,TRUE,FALSE,July,Offline
ORD195,Marco's Pizza,10-07-2024 13:00,10-07-2024 13:20,20,Medium,Non-Veg,Medium,Wallet,FALSE,FALSE,July,Online
ORD196,Domino's,11-07-2024 18:30,11-07-2024 18:50,20,Large,Veg,High,Card,TRUE,FALSE,July,Online
ORD197,Papa John's,12-07-2024 20:00,12-07-2024 20:25,25,Medium,Non-Veg,Low,UPI,TRUE,FALSE,July,Online
ORD198,Little Caesars,13-07-2024 19:15,13-07-2024 19:35,20,Small,Vegan,Low,Cash,TRUE,TRUE,July,Offline
ORD199,Pizza Hut,14-07-2024 19:45,14-07-2024 20:10,25,XL,Cheese Burst,High,Wallet,TRUE,TRUE,July,Online
ORD200,Marco's Pizza,15-07-2024 13:00,15-07-2024 13:20,20,Medium,Non-Veg,Medium,Card,FALSE,FALSE,July,Online
ORD201,Domino's,16-07-2024 18:30,16-07-2024 18:55,25,Large,Veg,High,Card,TRUE,FALSE,July,Online
ORD202,Papa John's,17-07-2024 19:00,17-07-2024 19:30,30,Medium,Non-Veg,Medium,UPI,TRUE,FALSE,July,Online
ORD203,Little Caesars,18-07-2024 20:15,18-07-2024 20:40,25,Small,Vegan,Low,Cash,TRUE,FALSE,July,Offline
